,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id,CodigoUFEmitente,ChaveAcesso,DigitoVerificador,NaturezaOperacao,FormaPagamento,ModeloDocumentoFiscal,Serie,Numero,DataEmissao,TipoOperacao,CodigoCidadeFatoGerador,TipoEmissao,Finalidade,CNPJEmitente,NomeEmitente,CodigoProduto,DescricaoProduto,NCMProduto,CFOPProduto,UnidadeComercialProduto,QuantidadeComercialProduto,ValorUnitarioProduto,TOTAIS_ValorProdutos,ICMS_OrigemProduto,ICMS_TributacaoProduto,ICMS_ModalidadeBC,ICMS_ModalidadeBCST,ICMS_Aliquota,ICMS_Valor,ICMS_ValorBC,ICMS_ValorBCST,ICMS_PercentualMargemBCST,ICMS_PercentualReducaoBCST,ICMS_AliquotaICMSST,ICMS_ValorICMSST,IPI_Enquadramento,IPI_CNPJProdutor,IPI_SeloControle,IPI_SeloQuantidade,IPI_CodigoEnquadramento,IPI_CodigoSituacaoTributaria,IPI_ValorBC,IPI_Aliquota,IPI_Valor,IPI_Unidade,IPI_ValorUnitario,II_ValorBC,II_ValorDespesasAduaneiras,II_Valor,II_ValorIOF,PIS_CodigoSituacaoTributaria,PIS_ValorBC,PIS_Aliquota,PIS_Valor,PIS_QuantidadeVendida,PIS_ValorAliquota,COFINS_CodigoSituacaoTributaria,COFINS_ValorBC,COFINS_Aliquota,COFINS_Valor,COFINS_QuantidadeVendida,COFINS_ValorAliquota,TOTAIS_ValorProEIPI
NFe42131207384807000467550010000027081806790037,42,80679003,7,VENDA A ORDEM,1,55,1,2708,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,RACK,RACKS REMOTOS,84735090,6119,UN,3,829.71,2489.13,0,00,3,0,17.00,423.15,2489.13,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,2489.13,1.65,41.07,0,0.00,01,2489.13,7.60,189.17,0,0.00,2489.13
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,XR-520.,XR AP WITH INTEGRATED CONTROLLER AND 2 300MBPS 802.11N RADIOS,85176241,6119,UN,18,2538.03,188909.67,1,00,3,0,17.00,8931.33,52537.22,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,45684.54,15.00,6852.68,0,0.00,0.00,0.00,0.00,0.00,01,45684.54,1.65,753.79,0,0.00,01,45684.54,7.60,3472.03,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,XE-500-MOUNT.,MOUNTING BRACKET AND 15/16" T-BAR CLIPS FOR XR-520 WIRELESS APS,85177099,6119,UN,18,55.28,188909.67,1,00,3,0,17.00,186.07,1094.54,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,995.04,10.00,99.5,0,0.00,0.00,0.00,0.00,0.00,01,995.04,1.65,16.42,0,0.00,01,995.04,7.60,75.62,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,SRX100H2.,SRX SERVICES GATEWAY 100 WITH 8XFE PORTS WITH 2GB DRAM AND 2GB FLASH. EXTERNAL POWER SUPPLY AND CORD INCLUDED,85176294,6119,UN,1,2329.37,188909.67,1,00,3,0,17.00,455.39,2678.78,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,2329.37,15.00,349.41,0,0.00,0.00,0.00,0.00,0.00,01,2329.37,1.65,38.43,0,0.00,01,2329.37,7.60,177.03,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CABO_HDMI_03542,CABO HDMI P/ AUDIO E VIDEO 1.4 C/ 15M,85444200,6119,UN,40,118.41,188909.67,0,00,3,0,17.00,805.19,4736.4,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,4736.4,1.65,78.15,0,0.00,01,4736.4,7.60,359.97,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,SUPORTE_00143,SUPORTE PROJETOR TELES TETO T025/045,73269090,6119,UN,40,97.79,188909.67,0,00,3,0,17.00,664.97,3911.6,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,3911.6,1.65,64.54,0,0.00,01,3911.6,7.60,297.28,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CABO_AUDIO-P2-10M,CABO DE AUDIO P2 10 M,85441990,6119,UN,40,82.85,188909.67,0,00,3,0,17.00,563.38,3314,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,3314,1.65,54.68,0,0.00,01,3314,7.60,251.86,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,CABO_AUDIO-P2-10M,CABO DE AUDIO P2 10 M,85441990,6119,UN,40,82.85,188909.67,0,00,3,0,17.00,563.38,3314,0.00,0.00,0.00,0.00,0.00,Nenhum,Não informado,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,01,3314,1.65,54.68,0,0.00,01,3314,7.60,251.86,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,XS-PWR-BR.,BRAZIL POWER CORD.,85444200,6119,UN,18,6.14,188909.67,1,00,3,0,17.00,19.73,116.05,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,110.52,5.00,5.53,0,0.00,0.00,0.00,0.00,0.00,01,110.52,1.65,1.82,0,0.00,01,110.52,7.60,8.4,0,0.00,198667.31
NFe42131207384807000467550010000027091000400051,42,00040005,1,VENDA A ORDEM,1,55,1,2709,12/24/2013,1,4209102,1,1,07384807000467,BINARIO DISTRIBUIDORA DE EQUIPAMENTOS ELETRONICOS LTDA.,EX2200-24P-4G.,EX 2200, 24-PORT 10/100/1000BASET (24-PORTS POE+) WITH 4 SFP UPLINK PORTS (OPTICS NOT INCLUDED),85176239,6119,UN,1,3840.15,188909.67,1,00,3,0,17.00,750.75,4416.17,0.00,0.00,0.00,0.00,0.00,0,Não informado,0,0,0,50,3840.15,15.00,576.02,0,0.00,0.00,0.00,0.00,0.00,01,3840.15,1.65,63.36,0,0.00,01,3840.15,7.60,291.85,0,0.00,198667.31
